Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
4910,145,147,22,345814
4911,206,86,13,223633
4912,165,61,14,150294
4913,117,51,14,131736
4914,119,49,15,129554
4915,179,144,18,353591
4916,79,31,13,81911
4917,25,11,10,31132
4918,202,192,22,472449
4919,158,129,18,309391
4920,1,0,1,65
4921,214,141,18,348080
4922,146,58,15,150825
4923,79,48,16,124057
4924,72,20,9,56698
4925,140,58,14,150180
4926,57,20,11,56884
4927,129,76,15,185038
4928,183,87,15,216251
4929,48,25,13,65999
4930,248,132,18,315614
4931,53,14,9,39058
4932,1,0,1,65
4933,144,76,16,190676
4934,102,37,9,98994
4935,195,107,18,269229
4936,106,49,14,124706
4937,53,16,10,43699
4938,231,102,12,257153
4939,86,62,20,158591
4940,85,24,10,63898
4941,1,0,1,65
4942,19,3,5,8851
4943,147,65,11,160189
4944,210,125,15,309338
4945,41,21,12,53617
4946,87,52,15,126491
4947,78,29,9,77518
4948,157,194,27,463928
4949,150,72,16,184737
4950,207,192,24,454596
4951,1,0,1,65
4952,1,0,1,65
4953,141,89,18,222769
4954,56,20,13,55167
4955,212,83,12,209983
4956,106,64,18,161736
4957,198,386,30,883652
4958,213,162,17,395094
4959,48,13,8,40415
4960,63,21,9,58678
4961,20,4,8,13509
4962,150,55,10,139594
4963,114,67,14,168656
4964,46,14,9,42250
4965,69,30,13,80265
4966,85,27,12,69399
4967,143,57,12,150631
4968,217,85,11,206534
4969,241,367,30,863371
4970,113,43,11,111799
4971,112,46,12,121003
4972,33,10,8,27246
4973,220,190,21,456398
4974,35,8,7,21487
4975,21,3,6,10524
4976,175,81,13,196393
4977,38,9,12,27493
4978,76,19,10,51323
4979,139,52,13,134391
4980,129,53,16,142516
4981,121,39,12,95990
4982,80,21,9,54083
4983,130,46,11,117256
4984,108,39,11,102293
4985,13,2,6,6960
4986,55,8,6,25101
4987,40,25,11,67241
4988,1,0,1,65
4989,208,87,10,210485
4990,126,39,10,100521
4991,109,91,16,233532
4992,31,8,10,23214
4993,164,85,18,210301
4994,87,25,9,67662
4995,111,55,17,137416
4996,1,0,1,65
4997,91,36,15,95204
4998,191,78,12,202347
4999,214,96,13,231837
5000,109,36,9,92566
