Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1707,224,95,17,235835
1708,86,31,15,81509
1709,66,19,13,51016
1710,165,68,17,172207
1711,95,32,13,87507
1712,229,104,15,247864
1713,185,376,64,840814
1714,197,176,38,433537
1715,202,87,15,219435
1716,12,2,6,5064
1717,26,7,16,18923
1718,224,128,19,313874
1719,150,248,56,565207
1720,36,8,10,24285
1721,40,12,14,34088
1722,220,110,17,259656
1723,158,191,41,483148
1724,36,11,13,31389
1725,194,87,18,218552
1726,97,93,38,231334
1727,208,197,38,471780
1728,103,45,16,123211
1729,20,4,8,9805
1730,19,4,10,12227
1731,1,0,1,65
1732,113,90,33,226258
1733,50,23,19,63922
1734,73,22,12,57097
1735,212,80,15,203050
1736,121,63,18,162896
1737,206,103,18,257669
1738,170,161,35,400686
1739,228,99,16,247043
1740,150,194,50,449565
1741,192,79,17,197889
1742,216,89,17,216481
1743,153,72,18,183745
1744,220,378,54,875130
1745,85,24,11,64240
1746,141,53,16,137635
1747,169,71,16,180369
1748,197,98,16,239049
1749,58,18,14,48845
1750,50,42,29,115172
1751,12,2,6,4941
1752,178,89,18,228825
1753,114,73,29,183328
1754,15,3,8,8782
1755,127,68,20,171823
1756,125,56,16,147270
1757,110,177,46,416267
1758,191,86,19,217252
1759,135,53,16,142175
1760,118,39,15,108061
1761,241,319,49,750706
1762,185,78,17,197250
1763,228,104,18,265995
1764,79,37,20,96423
1765,53,15,13,41160
1766,172,152,34,381411
1767,34,9,15,28002
1768,221,420,74,911498
1769,169,70,16,176663
1770,110,56,20,135954
1771,193,99,19,241033
1772,127,89,26,226223
1773,88,27,13,74851
1774,210,106,20,271838
1775,198,142,27,350443
1776,98,81,27,204645
1777,15,2,8,6350
1778,236,251,36,604664
1779,228,90,17,214785
1780,28,5,10,15735
1781,131,118,33,291001
1782,70,24,13,64124
1783,205,160,28,388654
1784,25,7,12,21915
1785,140,299,63,624695
1786,1,0,1,65
1787,163,299,54,646714
1788,169,154,39,380946
1789,215,98,16,242952
1790,137,47,16,121052
1791,154,66,18,169817
1792,80,77,35,192099
1793,60,33,20,86899
1794,107,50,15,125881
1795,185,86,20,219371
1796,207,235,37,558331
1797,52,14,11,38272
1798,103,54,30,137822
1799,65,26,15,72447
1800,155,88,22,213225
1801,80,93,44,240090
1802,84,35,16,94051
1803,25,7,13,19467
1804,174,86,17,219724
1805,30,7,13,18841
1806,202,143,24,354473
1807,174,207,44,500792
1808,245,262,40,633683
1809,172,177,42,436212
1810,150,167,40,409123
1811,131,51,17,132675
1812,146,74,17,188637
1813,199,97,20,240765
1814,12,1,7,5257
1815,210,93,16,223897
1816,148,66,18,166071
1817,97,38,18,100147
1818,1,0,1,65
1819,138,44,16,113942
1820,49,14,14,38202
1821,223,127,20,319762
1822,187,81,19,202342
1823,127,92,32,219700
1824,9,2,8,5603
1825,190,78,17,199964
1826,152,50,13,126479
1827,233,103,16,261329
1828,211,272,39,649216
1829,183,132,27,315754
1830,148,234,50,562462
1831,124,48,12,121598
1832,195,269,61,639202
1833,68,17,15,46029
1834,193,181,43,445502
1835,214,93,20,218951
1836,1,0,1,65
1837,123,67,21,168238
1838,75,21,14,59049
1839,21,4,9,12554
1840,138,61,18,158256
1841,70,19,12,51508
1842,168,75,17,186257
1843,128,106,35,277438
1844,138,98,34,237850
1845,14,2,9,6698
1846,5,1,4,1345
1847,12,2,7,5762
1848,72,33,17,87237
1849,104,38,14,97045
1850,1,0,1,65
1851,73,26,15,73937
1852,109,35,13,94485
1853,65,21,12,54978
1854,108,40,14,105611
1855,111,34,13,89215
1856,27,6,10,19338
1857,141,73,21,189121
1858,8,1,7,2938
1859,181,71,15,175800
1860,1,0,1,65
1861,1,0,1,65
1862,98,42,15,104096
1863,1,0,1,65
1864,159,96,26,242680
1865,148,72,17,184862
1866,214,300,53,703037
1867,26,4,9,13062
1868,198,89,17,223417
1869,46,16,17,47219
1870,183,127,36,319218
1871,249,236,33,581195
1872,240,376,59,832467
1873,83,22,11,61862
1874,163,121,25,311526
1875,246,744,84,1604320
1876,26,5,10,15454
1877,73,42,21,107988
1878,173,182,36,438059
1879,168,116,24,293152
1880,1,0,1,65
1881,111,47,14,119525
1882,175,70,20,182165
1883,122,71,24,172052
1884,228,104,15,265469
1885,229,92,16,223122
1886,30,4,11,12863
1887,69,24,15,64619
1888,37,10,10,28589
1889,1,0,1,65
1890,66,21,16,56087
1891,162,63,13,160341
1892,150,79,21,202471
1893,145,50,16,129925
1894,137,52,16,130747
1895,16,4,13,13737
1896,24,8,18,20519
1897,78,23,13,62499
1898,217,459,72,1074986
1899,116,269,50,555192
1900,132,55,17,143539
1901,153,55,15,142494
1902,15,3,8,7605
1903,127,112,31,271225
1904,179,74,16,187269
1905,68,19,10,48985
1906,79,20,12,56546
1907,224,103,17,259195
1908,182,289,53,692859
1909,202,104,19,262160
1910,93,29,15,79094
1911,121,46,16,122341
1912,12,2,11,5751
1913,101,57,21,140515
1914,207,179,33,435845
1915,166,138,38,334362
1916,98,27,14,73298
1917,87,37,19,97771
1918,80,31,16,85601
1919,162,192,43,466132
1920,155,88,25,219934
1921,138,70,22,181460
1922,89,48,23,131368
1923,153,80,22,201755
1924,173,69,15,176431
1925,166,125,31,312324
1926,42,9,11,25325
1927,113,60,20,158095
1928,148,86,21,218055
1929,240,374,49,848025
1930,120,46,15,122290
1931,14,3,8,7946
1932,50,20,17,58125
1933,30,8,12,20307
1934,78,44,26,121507
1935,40,12,13,33068
1936,210,195,35,470049
1937,174,114,21,292416
1938,10,1,9,4550
1939,128,91,33,224472
1940,110,35,18,87991
1941,68,22,14,60241
1942,84,24,12,63767
1943,57,13,11,36579
1944,170,86,19,222044
1945,60,17,12,46630
1946,45,13,12,38056
1947,214,92,16,224779
1948,173,87,18,224390
1949,204,90,16,224113
1950,21,3,11,11011
1951,20,8,14,22114
1952,53,24,24,62365
1953,189,198,37,483138
1954,51,37,31,88723
1955,184,94,21,235824
1956,114,45,17,120777
1957,73,28,16,80117
1958,37,9,13,26758
1959,234,469,57,1020786
1960,213,203,35,501482
1961,193,77,16,189709
1962,102,34,14,91516
1963,241,499,68,1149650
1964,173,82,18,212263
1965,236,327,42,802361
1966,47,13,10,34506
1967,197,213,37,516865
1968,220,149,25,353455
1969,120,54,20,143376
1970,155,59,16,141246
1971,1,0,1,65
1972,213,73,14,185814
1973,125,55,20,149181
1974,69,24,14,65969
1975,143,167,35,411810
1976,51,42,32,111112
1977,139,188,46,478335
1978,189,169,33,409625
1979,125,49,15,130589
1980,85,29,15,75669
1981,220,92,16,227315
1982,205,297,55,703983
1983,176,63,14,157975
1984,204,87,17,223642
1985,21,5,11,13600
1986,158,63,14,161773
1987,17,4,12,11747
1988,22,6,15,17245
1989,13,2,8,6130
1990,153,122,29,298459
1991,10,2,6,4266
1992,68,16,11,46286
1993,221,160,26,395641
1994,229,187,29,464154
1995,46,14,11,37169
1996,12,2,8,5342
1997,233,123,18,302786
1998,22,5,10,14597
1999,194,104,21,262342
2000,58,16,14,44528
2001,29,6,12,17403
2002,38,9,12,26672
2003,167,130,28,323926
2004,85,32,16,89295
2005,23,4,8,11254
2006,220,385,62,902023
2007,168,61,16,160205
2008,224,109,20,277141
2009,176,311,66,711038
2010,196,511,71,1064244
2011,67,20,14,52850
2012,51,13,11,36941
2013,134,301,60,669046
2014,1,0,1,65
2015,132,74,25,189122
2016,51,25,20,67864
2017,107,104,39,255495
2018,179,146,31,352173
2019,178,121,28,306138
2020,104,91,31,227172
2021,121,234,58,525783
2022,229,120,20,301528
2023,162,110,30,279043
2024,70,20,12,51465
2025,85,34,15,89426
2026,1,0,1,65
2027,67,26,13,70707
2028,192,153,29,375356
2029,228,139,23,339794
2030,195,265,57,616385
2031,51,26,19,70557
2032,26,7,15,19141
2033,224,82,14,209316
2034,94,93,46,232223
2035,121,54,18,136270
2036,134,67,18,167339
2037,208,136,23,346980
2038,78,28,15,72962
2039,146,120,30,299816
2040,89,33,15,86053
2041,165,74,18,187387
2042,155,59,14,151689
2043,221,176,32,440669
2044,177,157,36,374201
2045,225,231,40,551997
2046,96,27,15,71795
2047,72,20,18,53998
2048,159,56,15,137536
2049,65,26,16,67274
2050,131,47,14,122288
2051,44,24,23,64601
2052,126,84,26,211633
2053,37,10,14,27379
2054,115,56,20,150273
2055,29,6,10,17473
2056,126,65,21,172612
2057,148,67,20,177252
2058,224,119,22,296855
2059,228,104,17,257989
2060,16,4,12,13223
2061,171,100,19,255242
2062,45,28,23,72525
2063,150,100,30,249948
2064,34,9,15,26326
2065,195,590,75,1222094
2066,200,123,21,303649
2067,69,84,39,213690
2068,103,66,27,169312
2069,1,0,1,65
2070,179,634,75,1340293
2071,220,73,16,181093
2072,238,568,82,1241668
2073,82,21,12,54769
2074,178,74,17,192835
2075,168,208,47,493488
2076,89,50,20,136102
2077,122,97,29,248909
2078,58,18,12,49370
2079,110,54,18,128134
2080,227,136,23,333576
2081,77,27,16,71347
2082,55,14,12,40318
2083,81,28,12,74524
2084,18,2,7,7523
2085,142,72,21,187354
2086,152,64,17,161457
2087,194,205,39,486132
2088,242,178,26,425432
2089,202,91,17,227461
2090,179,101,20,257177
2091,228,103,17,254900
2092,92,23,11,60286
2093,109,42,15,108045
2094,1,0,1,65
2095,140,93,22,230792
2096,11,1,6,4844
2097,188,126,30,310320
2098,184,95,17,238620
2099,136,165,54,377729
2100,18,3,8,10192
2101,218,115,19,288972
2102,14,2,8,7201
2103,204,95,20,238170
2104,120,84,33,205158
2105,164,56,15,143109
2106,239,193,27,468943
2107,21,4,8,11289
2108,79,27,13,73181
2109,149,350,79,770539
2110,208,70,14,172670
2111,151,70,17,184681
2112,41,26,26,65587
2113,213,148,22,358174
2114,103,60,25,153602
2115,27,11,17,30842
2116,187,131,30,333293
2117,216,382,64,891261
2118,36,14,20,40053
2119,43,10,10,27912
2120,23,5,9,13898
2121,174,377,62,839654
2122,226,411,57,943178
2123,44,12,13,34654
2124,228,103,18,255890
2125,1,0,1,65
2126,162,82,18,201603
2127,202,81,16,198466
2128,232,107,15,264374
2129,187,81,16,202774
2130,133,51,14,129330
2131,1,0,1,65
2132,122,34,14,91113
2133,135,57,18,148688
2134,28,3,7,9393
2135,12,2,6,5217
2136,52,16,18,41730
2137,246,176,27,431435
2138,113,43,14,109993
2139,141,49,14,126338
2140,112,44,14,123014
2141,49,10,12,28467
2142,217,96,18,231469
2143,239,277,44,647189
2144,143,67,19,176503
2145,116,39,15,108844
2146,123,65,20,170360
2147,162,98,25,241246
2148,167,85,25,212011
2149,91,42,19,112941
2150,33,7,10,19093
2151,46,17,15,47859
2152,197,121,32,299846
2153,158,96,20,243759
2154,57,34,22,88952
2155,144,61,15,152039
2156,187,149,28,372330
2157,211,89,19,227352
2158,213,93,18,225200
2159,134,45,13,124751
2160,157,66,15,168622
2161,86,31,14,82679
2162,208,180,33,446375
2163,100,100,42,243598
2164,126,68,25,175074
2165,62,58,36,142048
2166,116,45,16,111342
2167,95,41,17,110894
2168,93,82,32,201457
2169,234,117,17,286520
2170,48,12,11,31326
2171,29,6,9,18050
2172,34,11,17,30003
2173,148,52,14,136144
2174,53,14,13,39468
2175,187,285,59,659135
2176,7,1,6,2382
2177,212,83,18,208901
2178,103,49,23,129570
2179,208,144,23,341513
2180,74,65,31,162393
2181,198,88,16,227995
2182,75,35,19,89155
2183,45,9,10,25421
2184,209,265,46,625103
2185,30,10,15,28096
2186,19,4,8,11068
2187,19,5,13,15050
2188,81,20,10,53317
2189,56,18,13,51489
2190,101,44,16,119467
2191,34,6,10,19290
2192,219,107,19,259273
2193,98,41,17,104440
2194,79,26,15,70044
2195,47,10,10,29856
2196,132,45,14,114257
2197,57,18,16,49459
2198,109,44,15,113702
2199,47,24,25,64447
2200,104,52,20,127630
2201,136,51,17,133742
2202,35,17,24,46451
2203,198,86,18,216203
2204,61,49,37,123027
2205,85,26,14,72326
2206,28,11,18,30001
2207,165,72,13,183707
2208,146,60,19,151076
2209,114,136,46,322257
2210,232,147,25,344075
2211,64,43,21,75889
2212,203,89,18,221338
2213,35,7,8,21215
2214,111,45,16,121983
2215,212,102,15,247302
2216,184,133,28,318136
