Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
1477,217,2309,8,50895
1478,92,147,3,6290
1479,237,1377,5,35625
1480,43,97,6,3306
1481,212,702,2,14450
1482,65,118,3,3275
1483,36,65,6,3066
1484,213,883,3,23912
1485,145,395,2,8730
1486,107,274,3,7740
1487,61,112,2,3936
1488,86,129,2,5709
1489,43,55,2,1740
1490,188,435,2,13195
1491,86,217,4,7266
1492,126,331,3,6578
1493,80,288,2,5796
1494,171,399,2,10633
1495,114,1496,12,27938
1496,51,70,2,2575
1497,156,505,3,13459
1498,26,84,5,1855
1499,219,674,2,19316
1500,45,54,2,2548
1501,181,404,2,11979
1502,65,84,2,2882
1503,177,551,2,14555
1504,140,302,3,11240
1505,12,10,4,450
1506,163,1268,10,33027
1507,166,452,3,13986
1508,226,628,2,16761
1509,219,3396,13,71557
1510,85,383,7,13167
1511,86,177,4,6055
1512,93,155,2,5049
1513,52,105,3,3465
1514,187,1251,2,17625
1515,230,954,4,25355
1516,1,1,1,3
1517,139,1216,11,33759
1518,117,608,6,15510
1519,215,704,3,21550
1520,178,685,5,22491
1521,160,283,2,9630
1522,99,267,4,8358
1523,150,804,5,17759
1524,65,238,5,6288
1525,124,226,3,7968
1526,187,1975,10,43500
1527,119,257,4,8604
1528,51,123,6,3502
1529,127,339,4,13515
1530,9,6,4,323
1531,58,106,4,3627
1532,162,394,3,9425
1533,102,180,2,5330
1534,130,763,7,20880
1535,61,81,2,2952
1536,91,199,6,9150
1537,163,1167,5,22890
1538,40,49,2,1620
1539,59,154,6,5712
1540,94,240,2,4914
1541,17,20,4,735
1542,89,260,4,7339
1543,219,697,3,21072
1544,74,195,6,8046
1545,13,12,3,486
1546,229,1049,5,22950
1547,231,1344,4,34725
1548,200,914,3,16842
1549,74,267,7,8940
1550,220,783,2,18522
1551,61,153,4,5043
1552,35,58,2,1207
1553,215,1418,3,27584
1554,37,53,6,2925
1555,89,191,3,5191
1556,188,987,2,20735
1557,35,41,4,1704
1558,68,107,2,4247
1559,170,427,2,12276
1560,206,652,3,18998
1561,53,79,3,2675
1562,73,655,8,11319
1563,10,6,2,210
1564,221,1408,3,30124
1565,120,1566,12,29643
1566,158,524,3,12046
1567,74,127,2,4172
1568,151,678,5,18180
1569,77,231,4,7130
1570,11,7,4,368
1571,95,297,4,7449
1572,84,149,2,5070
1573,8,9,4,238
1574,245,916,3,27496
1575,91,172,3,6771
1576,110,212,3,6188
1577,121,1114,7,21627
1578,223,829,3,21903
1579,190,853,4,23622
1580,208,649,2,15012
1581,6,2,3,143
1582,36,46,3,1825
1583,177,1450,6,28755
1584,129,863,8,22792
1585,189,490,2,13644
1586,186,368,3,12682
1587,1,0,1,3
1588,97,169,2,4680
1589,140,360,3,11802
1590,83,139,4,6346
1591,101,207,3,6699
1592,35,40,3,1775
1593,71,98,3,3718
1594,65,108,3,3799
1595,156,1167,10,30674
1596,19,12,3,624
1597,163,399,2,13080
1598,92,163,2,4995
1599,63,138,2,2921
1600,135,955,7,23035
1601,177,619,4,14555
1602,103,263,3,7866
1603,125,310,2,7530
1604,193,434,4,16254
1605,9,7,4,304
1606,76,647,6,8415
1607,169,388,2,11187
1608,54,174,7,5995
1609,191,400,2,12256
1610,17,13,2,455
1611,105,350,3,7174
1612,73,337,5,6468
1613,223,550,2,14751
1614,67,446,7,8775
1615,213,1251,6,37149
1616,147,667,8,24485
1617,101,224,4,7714
1618,193,392,2,13932
1619,213,3134,15,74298
1620,177,429,2,12780
1621,18,10,4,666
1622,237,527,2,16625
1623,132,509,3,13250
1624,85,478,5,8037
1625,24,21,2,784
1626,156,466,3,12207
1627,239,877,3,21555
1628,192,2686,7,45045
1629,44,93,2,2225
1630,150,2180,17,52976
1631,112,184,2,7200
1632,78,121,2,4396
1633,148,3204,17,42471
1634,178,706,7,29631
1635,132,278,3,8215
1636,116,257,2,6524
1637,40,60,5,2430
1638,131,283,3,8416
1639,223,571,2,15198
1640,226,575,3,21744
1641,95,1609,6,12797
1642,209,486,2,15503
1643,159,351,3,11165
1644,138,997,14,32686
1645,102,152,2,5535
1646,121,1164,12,29403
1647,24,24,4,980
1648,201,645,3,18135
1649,1,0,1,3
1650,79,313,11,13197
1651,122,295,2,8330
1652,90,264,5,7783
1653,232,502,2,19065
1654,13,9,5,540
1655,100,271,5,10653
1656,63,158,6,5334
1657,109,209,2,7008
1658,141,598,6,16131
1659,18,18,4,851
1660,91,405,5,11163
1661,165,1159,6,28135
1662,180,375,3,12635
1663,152,1112,5,25315
1664,74,193,4,5662
1665,49,66,2,2277
1666,12,7,3,350
1667,118,331,2,10428
1668,186,573,3,14920
1669,133,366,3,9345
1670,104,749,8,21945
1671,134,626,3,14257
1672,194,410,2,12837
1673,24,20,4,1274
1674,31,41,6,1764
1675,190,1134,4,22479
1676,108,1168,12,25606
1677,118,267,3,10428
1678,128,295,3,8995
1679,142,640,6,21090
1680,146,437,5,15236
1681,162,1493,7,30225
1682,124,283,2,6972
1683,136,462,5,17472
1684,155,471,4,13684
1685,156,772,4,19719
1686,134,344,2,8877
1687,179,387,3,11129
1688,5,1,2,77
1689,202,1644,8,44145
1690,155,1542,9,30789
1691,159,981,3,17864
1692,83,126,2,5177
1693,136,272,2,8736
1694,176,566,2,14120
1695,8,5,3,221
1696,189,1928,7,40174
1697,32,34,3,1430
1698,31,34,3,1575
1699,221,666,4,21707
1700,221,1515,5,33225
1701,209,542,2,15503
1702,84,201,3,7267
1703,126,266,3,8096
1704,161,500,3,14535
1705,102,242,2,6765
1706,44,173,10,5785
1707,224,622,2,14368
1708,86,152,3,7439
1709,66,114,2,3857
1710,165,393,2,11254
1711,95,214,3,5921
1712,229,696,3,16983
1713,185,2073,8,44149
1714,197,904,5,27650
1715,202,420,2,15390
1716,12,8,2,275
